,age,workclass,fnlwgt,education,marital_status,relationship,sex,capital_gain,capital_loss,hour_per_week,native_country,race_Asian-Pac-Islander,race_Black,race_Other,race_White,occupation_Armed-Forces,occupation_Craft-repair,occupation_Exec-managerial,occupation_Farming-fishing,occupation_Handlers-cleaners,occupation_Machine-op-inspct,occupation_Other-service,occupation_Priv-house-serv,occupation_Prof-specialty,occupation_Protective-serv,occupation_Sales,occupation_Tech-support,occupation_Transport-moving,income_class
0,39,7,77516,5,0,0,1,2174,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,6,83311,5,1,5,1,0,0,13,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,38,5,215646,1,2,0,1,0,0,40,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,53,5,234721,1,1,5,1,0,0,40,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,28,5,338409,5,1,4,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,37,5,284582,6,1,4,0,0,0,40,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,49,5,160187,1,3,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,52,6,209642,1,1,5,1,0,0,45,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8,31,5,45781,6,0,0,0,14084,0,50,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9,42,5,159449,5,1,5,1,5178,0,40,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,37,5,280464,2,1,5,1,0,0,80,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11,30,7,141297,5,1,5,1,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12,23,5,122272,5,0,3,0,0,0,30,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,32,5,205019,4,0,0,1,0,0,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,40,5,121772,3,1,5,1,0,0,40,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,34,5,245487,1,1,5,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,25,6,176756,1,0,3,1,0,0,35,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,32,5,186824,1,0,2,1,0,0,40,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,38,5,28887,1,1,5,1,0,0,50,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,43,6,292175,6,2,2,0,0,0,45,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,40,5,193524,8,1,5,1,0,0,60,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
21,54,5,302146,1,4,2,0,0,0,20,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,35,4,76845,1,1,5,1,0,0,40,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,43,5,117037,1,1,5,1,0,2042,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,59,5,109015,1,2,2,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,56,3,216851,5,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
26,19,5,168294,1,0,3,1,0,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,54,5,180211,2,1,5,1,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,39,5,367260,1,2,0,1,0,0,80,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,49,5,193366,1,1,5,1,0,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,23,3,190709,4,0,0,1,0,0,52,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,20,5,266015,2,0,3,1,0,0,44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,45,5,386940,5,2,3,1,0,1408,40,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,30,4,59951,2,1,3,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,22,7,311512,2,1,5,1,0,0,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,48,5,242406,1,0,2,1,0,0,40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,21,5,197200,2,0,3,1,0,0,40,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,19,5,544091,1,5,4,0,0,0,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,31,5,84154,2,1,5,1,0,0,38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
39,48,6,265477,4,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,31,5,507875,1,1,5,1,0,0,43,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
